acctno,qty,trandate,tran_channel,price,totamt,orderno,deptdescr
WLHAWYPAW,1,2009-12-27,RT,32.97,32.97,CCXUUZZXXXRC,Home Audio
WLHSQDDHA,1,2009-12-18,IB,138,138,CRUKIVZINNK,Mobile Electronic Accessories
WLHSPGYWY,1,2009-12-02,RT,35.85,35.85,CCXVRVNXXXKC,Small Appliances
WLHSPHQPY,1,2009-12-10,IB,179.85,179.85,CRVVICZNUUK,Small Appliances
WLHSPHQPY,1,2009-12-21,RT,29.97,29.97,CCXUCIVXXXNI,Mobile Electronics
WLHSPHQPY,1,2009-12-21,RT,14.85,14.85,CCXUCIVXXXNI,Home Audio
WLHSPHQPY,1,2009-12-21,RT,48,48,CCXUCIVXXXNI,Small Appliances
WLHSPHQPY,1,2009-12-21,RT,53.97,53.97,CCXUCIVXXXNI,Mobile Electronics
WLHSPHQPY,1,2009-12-21,RT,99,99,CCXUCIVXXXNI,Small Appliances
WLHSPHQPY,1,2009-12-21,RT,54,54,CCXEZEZXXXRX,Small Appliances
WLHPASWQP,1,2009-12-21,IB,44.97,44.97,CRUUIZVEUIK,Portable Electronics
WLHPASWQP,1,2009-12-21,IB,59.97,59.97,CRUUIZVEUIK,Portable Electronics
WLHPYLGYW,1,2009-12-13,RT,117,117,CCXKIVKXXXKI,Portable Electronics
WLHLAPWLY,1,2009-12-11,CB,165,165,CRVUIZZCCZK,Cameras & Camcorder Accessori
WLHLAPWLY,1,2009-12-11,CB,165,165,CRVUIZZCCZK,Cameras & Camcorder Accessori
WLHGSYHGY,1,2009-12-16,CB,177,177,CRUXICNRNIK,Mobile Electronics
WLHGSYHGY,1,2009-12-16,CB,38.85,38.85,CRUXICNRNIK,Mobile Electronics
WLHGSYHGY,1,2009-12-16,CB,38.85,38.85,CRUXICNRNIK,Mobile Electronics
WLHGSYHGY,1,2009-12-16,CB,38.85,38.85,CRUXICNRNIK,Mobile Electronics
WLHGSYHGY,1,2009-12-16,CB,32.85,32.85,CRUXICNRNIK,Mobile Electronics
WLHGGYLGH,1,2009-12-11,IB,149.85,149.85,CRVUIICNKKK,Home Audio
WLHYQWHPH,1,2009-12-31,RT,14.97,14.97,CCXNZVVXXXVI,Mobile Electronics
WLHYQWHPH,1,2009-12-31,RT,14.97,14.97,CCXNZVVXXXVI,Mobile Electronics
WLHYQWHPH,1,2009-12-31,RT,20.97,20.97,CCXNZVVXXXVI,Mobile Electronic Accessories
WLHYQWHPH,1,2009-12-31,RT,44.85,44.85,CCXNZVVXXXVI,Small Appliances
WLYWQQSSD,1,2009-12-22,RT,35.97,35.97,CCXCNUZXXXRC,Small Appliances
WLYWQQSSD,1,2009-12-22,RT,59.85,59.85,CCXCNUZXXXRC,Portable Electronics
WLYWQQSSD,1,2009-12-22,RT,26.85,26.85,CCXCNUZXXXRC,Small Appliances
WLYWQQSSD,1,2009-12-22,RT,44.85,44.85,CCXCNUZXXXRC,Small Appliances
WLYSGQSSD,1,2009-12-20,RT,72,72,CCXEUZUXXXRI,Home Audio
WLYSDDQHW,1,2009-12-04,RT,84,84,CCXXEXVXXXNI,Small Appliances
WLYSDDQHW,1,2009-12-04,RT,66,66,CCXXEXVXXXNI,Small Appliances
WLYSDDQHW,1,2009-12-08,RT,419.85,419.85,CCXEENNXXXKI,Portable Electronics
WLYLAPQSS,1,2009-12-13,RT,31.5,31.5,CCXZUERXXXVI,Mobile Electronic Accessories
WLYLYSDSQ,1,2009-12-13,RT,41.85,41.85,CCXKZVRXXXKI,Mobile Electronic Accessories
WLYLYSDSQ,1,2009-12-13,RT,54,54,CCXKZVRXXXKI,Mobile Electronics
WLYLYSDSQ,1,2009-12-13,RT,38.85,38.85,CCXKZVRXXXKI,Mobile Electronics
WLYLYSDSQ,1,2009-12-13,RT,38.85,38.85,CCXKZVRXXXKI,Mobile Electronics
WLYLYSDSQ,1,2009-12-13,RT,41.85,41.85,CCXKZVRXXXKI,Mobile Electronic Accessories
WLYHYLWQL,1,2009-12-13,RT,59.85,59.85,CCXXNUUXXXNC,Mobile Electronics
WLYHYLWQL,1,2009-12-13,RT,42,42,CCXXNUUXXXNC,Mobile Electronics
WLYYHSPAA,1,2009-12-13,RT,120,120,CCXIRXXXXXRC,Home Audio
WLYYDWHLP,1,2009-12-22,RT,26.97,26.97,CCXUUZXXXXNI,Mobile Electronics
WLDQSLYQH,1,2009-12-15,RT,79.5,79.5,CCXEKVCXXXKI,Mobile Electronic Accessories
WLDQSLYQH,1,2009-12-15,RT,38.85,38.85,CCXEKVCXXXKI,Mobile Electronics
WLDQSLYQH,1,2009-12-15,RT,38.85,38.85,CCXEKVCXXXKI,Mobile Electronics
WLDQSLYQH,1,2009-12-15,RT,45,45,CCXEKVCXXXKI,Mobile Electronics
WLDQYAYGG,4,2009-12-09,RT,59.85,239.4,CCXEEERXXXKC,Mobile Electronic Accessories
WLDQYAYGG,1,2009-12-09,RT,54,54,CCXEEERXXXKC,Mobile Electronic Accessories
WLDWWWSLQ,1,2009-12-20,RT,59.85,59.85,CCXUKCIXXXVI,Small Appliances
WLDAYHQLW,1,2009-12-10,IB,216,216,CRVVIZICKNK,Cameras & Camcorder Accessori
WLDAYHQLW,1,2009-12-10,IB,216,216,CRVVIZICKNK,Cameras & Camcorder Accessori
WLDPPSAQD,1,2009-12-21,RT,36,36,CCXUEKVXXXVC,Mobile Electronics
WLDPPSAQD,1,2009-12-21,RT,30,30,CCXUEKVXXXVC,Mobile Electronics
WLDGWDHSS,1,2009-12-14,IB,72,72,CRVZIIUZXCK,Small Appliances
WLDHWWAWH,1,2009-12-28,RT,20.97,20.97,CCXZIINXXXKI,Mobile Electronic Accessories
WGQQYPDDA,1,2009-12-07,RT,96,96,CCXRXKCXXXNC,Mobile Electronic Accessories
WGQQYPDDA,1,2009-12-07,RT,43.5,43.5,CCXRXKCXXXNC,Mobile Electronic Accessories
WGQWQPHGG,1,2009-12-19,RT,24,24,CCXKNUUXXXNX,Mobile Electronics
WGQWQYQLG,1,2009-12-14,RT,73.5,73.5,CCXRCNXXXXNI,Mobile Electronics
WGQWQYQLG,1,2009-12-14,RT,79.5,79.5,CCXRCNXXXXNI,Mobile Electronic Accessories
WGQWQYQLG,1,2009-12-14,RT,57,57,CCXRCNXXXXNI,Mobile Electronics
WGQWQYQLG,1,2009-12-14,RT,74.85,74.85,CCXRCNXXXXNI,Home Audio
WGQWQYQLG,1,2009-12-28,RT,65.97,65.97,CCXERENXXXNI,Mobile Electronic Accessories
WGQWQYAAW,1,2009-12-12,RT,239.88,239.88,CCXRVIZXXXNC,Home Audio
WGQWQDPGY,1,2009-12-21,RT,23.85,23.85,CCXUEUZXXXVI,Small Appliances
WGQWQDPGY,1,2009-12-21,RT,43.5,43.5,CCXUEUZXXXVI,Mobile Electronic Accessories
WGQWQDPGY,1,2009-12-21,RT,56.85,56.85,CCXUEUZXXXVI,Portable Electronics
WGQWQDPGY,1,2009-12-21,RT,14.85,14.85,CCXUEUZXXXVI,Small Appliances
WGQWQDPGY,1,2009-12-21,RT,149.85,149.85,CCXUEUZXXXVI,Home Audio
WGQWQDPGY,1,2009-12-21,RT,36,36,CCXUEUZXXXVI,Mobile Electronic Accessories
WGQWQDPDA,1,2009-12-09,RT,38.25,38.25,CCXVNRXXXXRC,Mobile Electronic Accessories
WGQWQDPDA,1,2009-12-09,RT,42,42,CCXVNRXXXXRC,Mobile Electronics
WGQWQDPDA,1,2009-12-09,RT,37.5,37.5,CCXVNRXXXXRC,Mobile Electronic Accessories
WGQWQDPDA,2,2009-12-09,RT,72,144,CCXVNRXXXXRC,Mobile Electronic Accessories
WGQWQDPDA,2,2009-12-09,RT,32.85,65.7,CCXVNRXXXXRC,Mobile Electronic Accessories
WGQWQDLGH,2,2009-12-05,IB,87,174,CRRCIKZRKNK,Small Appliances
WGQWQDLGH,1,2009-12-05,IB,87,87,CRRCIKZRKNK,Small Appliances
WGQWQDGAL,1,2009-12-02,RT,58.5,58.5,CCXNXECXXXKI,Mobile Electronic Accessories
WGQWQDHWG,1,2009-12-19,IB,147,147,CRURICUURIK,Portable Electronics
WGQWQDHWG,1,2009-12-19,IB,119.85,119.85,CRURICUURIK,Small Appliances
